date,state_id,state_label,state_prob_0,state_prob_1,state_prob_2,state_prob_3
1999-03-10,2,state_2,4.1260737515796395e-28,5.752193341413914e-193,1.0,4.819881194099349e-35
1999-03-11,2,state_2,4.241841143284973e-28,6.058188805354052e-193,1.0,4.988547100492665e-35
1999-03-12,2,state_2,6.286784125913364e-28,7.584352930080558e-193,1.0,7.057640921410521e-35
1999-03-15,2,state_2,7.9162871236272055e-28,1.280321842797019e-192,1.0,9.652031712647993e-35
1999-03-16,2,state_2,3.256529954427238e-28,1.6086080095083162e-193,1.0,2.9764497932255885e-35
1999-03-17,2,state_2,3.416068049071932e-28,1.4913730041955552e-193,1.0,3.0212301513793586e-35
1999-03-18,2,state_2,5.041418828457953e-28,2.6638221804357887e-193,1.0,4.785385846228122e-35
1999-03-19,2,state_2,5.40220048402053e-28,2.2022105299044873e-193,1.0,4.7248401191441925e-35
1999-03-22,2,state_2,3.1918447743933756e-28,1.4184583742179163e-193,1.0,2.8264519903776757e-35
1999-03-23,2,state_2,5.2455824140603955e-28,2.6028309287414805e-193,1.0,4.6700262414237873e-35
1999-03-24,2,state_2,5.677415682486424e-28,4.0190609344419077e-193,1.0,5.59470027586983e-35
1999-03-25,2,state_2,6.065960644975693e-28,4.470668889695547e-193,1.0,6.083506446392588e-35
1999-03-26,2,state_2,2.333582465770894e-28,1.306101114971437e-193,1.0,2.170682603300159e-35
1999-03-29,2,state_2,5.309748849191363e-28,4.2837006083285455e-193,1.0,5.492229934193023e-35
1999-03-30,2,state_2,2.0073617571848097e-28,4.4971785508733375e-194,1.0,1.5004792728293803e-35
1999-03-31,2,state_2,2.328104808922413e-28,4.869470566909691e-194,1.0,1.709894298704089e-35
1999-04-01,2,state_2,2.5700451319408324e-28,7.010662200587597e-194,1.0,2.0325675426084579e-35
1999-04-02,2,state_2,1.7562349868083505e-28,4.5123203657693716e-194,1.0,1.364244683344623e-35
1999-04-05,2,state_2,3.6220975928895397e-28,1.4740971103141756e-193,1.0,3.183445003128342e-35
1999-04-06,2,state_2,1.1486160903059076e-28,4.732929870733948e-194,1.0,1.0066481797877893e-35
1999-04-07,2,state_2,1.2981582632808976e-28,9.348875991679986e-194,1.0,1.2274812553086588e-35
1999-04-08,2,state_2,1.2162791436633249e-28,1.1156460236624748e-193,1.0,1.222243140977262e-35
1999-04-09,2,state_2,1.2161365007288697e-28,1.280262229078943e-193,1.0,1.2626117592239356e-35
1999-04-12,2,state_2,1.2475432239250743e-28,1.2508833398834694e-193,1.0,1.276936914441254e-35
1999-04-13,2,state_2,1.3369616511860806e-28,1.2494688365076572e-193,1.0,1.34814290724243e-35
1999-04-14,2,state_2,2.587472297197999e-28,1.894085115480611e-193,1.0,2.4678314035915044e-35
1999-04-15,2,state_2,1.0323314450922223e-28,8.971004697263679e-194,1.0,1.0380144450493083e-35
1999-04-16,2,state_2,1.6494234807587883e-28,1.0352616809068926e-193,1.0,1.5305836050676904e-35
1999-04-19,2,state_2,3.6945483103867123e-28,2.0110517155459083e-193,1.0,3.320312165357465e-35
1999-04-20,2,state_2,8.405491288556247e-29,6.213592671723943e-194,1.0,8.251454319110056e-36
1999-04-21,2,state_2,4.818292466799919e-28,3.551519437237932e-193,1.0,4.7514687441014756e-35
1999-04-22,2,state_2,1.5207113556624578e-28,9.797919431323194e-194,1.0,1.438015351445982e-35
1999-04-23,2,state_2,9.774359922274615e-29,6.201139432757508e-194,1.0,9.16025955070355e-36
1999-04-26,2,state_2,1.266848085235439e-28,9.636787515381202e-194,1.0,1.2402229418138752e-35
1999-04-27,2,state_2,9.546884108432175e-29,6.201484324551185e-194,1.0,8.921759879203241e-36
1999-04-28,2,state_2,1.9612293994881245e-28,1.0852530487777447e-193,1.0,1.7584777505616013e-35
