date,anfci
1971-01-08,0.51432
1971-01-15,0.58524
1971-01-22,0.67278
1971-01-29,0.76641
1971-02-05,0.85632
1971-02-12,0.93187
1971-02-19,0.98588
1971-02-26,1.01671
1971-03-05,1.02887
1971-03-12,1.03026
1971-03-19,1.03382
1971-03-26,1.05687
1971-04-02,1.11416
1971-04-09,1.21635
1971-04-16,1.36279
1971-04-23,1.54054
1971-04-30,1.72611
1971-05-07,1.88838
1971-05-14,1.99212
1971-05-21,2.01153
1971-05-28,1.93444
1971-06-04,1.76177
1971-06-11,1.50681
1971-06-18,1.20514
1971-06-25,0.89952
1971-07-02,0.63868
1971-07-09,0.47401
1971-07-16,0.44639
1971-07-23,0.5768
1971-07-30,0.86046
1971-08-06,1.26212
1971-08-13,1.72401
1971-08-20,2.17998
1971-08-27,2.56
1971-09-03,2.81969
1971-09-10,2.92961
1971-09-17,2.89238
1971-09-24,2.72607
1971-10-01,2.4682
1971-10-08,2.16191
1971-10-15,1.85612
1971-10-22,1.59338
1971-10-29,1.40719
1971-11-05,1.31512
1971-11-12,1.3162
1971-11-19,1.39644
1971-11-26,1.5264
1971-12-03,1.67507
1971-12-10,1.81016
1971-12-17,1.90239
1971-12-24,1.93175
1971-12-31,1.89375
1972-01-07,1.77909
1972-01-14,1.61371
1972-01-21,1.41295
1972-01-28,1.20252
1972-02-04,1.00692
1972-02-11,0.84162
1972-02-18,0.71476
1972-02-25,0.62896
1972-03-03,0.58088
1972-03-10,0.56385
1972-03-17,0.56739
1972-03-24,0.57864
1972-03-31,0.58295
1972-04-07,0.5674
1972-04-14,0.52564
1972-04-21,0.45367
1972-04-28,0.36015
1972-05-05,0.25596
1972-05-12,0.1576
1972-05-19,0.08129
1972-05-26,0.04239
1972-06-02,0.04889
1972-06-09,0.10377
1972-06-16,0.20057
1972-06-23,0.32693
1972-06-30,0.46437
1972-07-07,0.59185
1972-07-14,0.69039
1972-07-21,0.74377
1972-07-28,0.74081
1972-08-04,0.67773
1972-08-11,0.55961
1972-08-18,0.39906
1972-08-25,0.21462
1972-09-01,0.02902
1972-09-08,-0.13435
1972-09-15,-0.25967
1972-09-22,-0.33902
1972-09-29,-0.37309
1972-10-06,-0.37101
1972-10-13,-0.34644
1972-10-20,-0.31266
1972-10-27,-0.28302
1972-11-03,-0.26807
1972-11-10,-0.27377
1972-11-17,-0.30477
1972-11-24,-0.36071
1972-12-01,-0.43406
1972-12-08,-0.51374
1972-12-15,-0.58515
1972-12-22,-0.62985
1972-12-29,-0.63171
1973-01-05,-0.5788
1973-01-12,-0.46388
1973-01-19,-0.28811
1973-01-26,-0.05949
1973-02-02,0.20656
1973-02-09,0.48765
1973-02-16,0.75679
1973-02-23,0.99059
1973-03-02,1.16845
1973-03-09,1.28018
1973-03-16,1.32492
1973-03-23,1.31437
1973-03-30,1.26456
1973-04-06,1.19187
1973-04-13,1.11483
1973-04-20,1.04298
1973-04-27,0.98145
1973-05-04,0.92795
1973-05-11,0.87963
1973-05-18,0.83133
1973-05-25,0.78241
1973-06-01,0.73713
1973-06-08,0.70401
1973-06-15,0.69216
1973-06-22,0.70993
1973-06-29,0.76387
1973-07-06,0.85396
1973-07-13,0.98006
1973-07-20,1.13584
1973-07-27,1.31716
1973-08-03,1.5135
1973-08-10,1.71249
1973-08-17,1.89906
1973-08-24,2.05877
1973-08-31,2.17768
1973-09-07,2.24615
1973-09-14,2.26203
1973-09-21,2.22735
1973-09-28,2.14541
1973-10-05,2.01851
1973-10-12,1.86097
1973-10-19,1.68718
1973-10-26,1.5264
1973-11-02,1.40747
1973-11-09,1.35719
1973-11-16,1.38754
1973-11-23,1.48367
1973-11-30,1.61122
1973-12-07,1.72272
1973-12-14,1.77466
1973-12-21,1.73987
1973-12-28,1.6131
1974-01-04,1.40531
1974-01-11,1.14575
1974-01-18,0.85793
1974-01-25,0.56399
1974-02-01,0.28325
1974-02-08,0.03311
