date,nfci
1971-01-08,0.58483
1971-01-15,0.61682
1971-01-22,0.65395
1971-01-29,0.69471
1971-02-05,0.73779
1971-02-12,0.78084
1971-02-19,0.82279
1971-02-26,0.8641
1971-03-05,0.90636
1971-03-12,0.95164
1971-03-19,1.00217
1971-03-26,1.06023
1971-04-02,1.12597
1971-04-09,1.19832
1971-04-16,1.27302
1971-04-23,1.34365
1971-04-30,1.40304
1971-05-07,1.44316
1971-05-14,1.45527
1971-05-21,1.43474
1971-05-28,1.38234
1971-06-04,1.30252
1971-06-11,1.20289
1971-06-18,1.0998
1971-06-25,1.01031
1971-07-02,0.95095
1971-07-09,0.93729
1971-07-16,0.97908
1971-07-23,1.07897
1971-07-30,1.2317
1971-08-06,1.42309
1971-08-13,1.63262
1971-08-20,1.83774
1971-08-27,2.01264
1971-09-03,2.14178
1971-09-10,2.2111
1971-09-17,2.2198
1971-09-24,2.17153
1971-10-01,2.07711
1971-10-08,1.95068
1971-10-15,1.81019
1971-10-22,1.67221
1971-10-29,1.55089
1971-11-05,1.45593
1971-11-12,1.39054
1971-11-19,1.35404
1971-11-26,1.33948
1971-12-03,1.33875
1971-12-10,1.34278
1971-12-17,1.34137
1971-12-24,1.32631
1971-12-31,1.29457
1972-01-07,1.23664
1972-01-14,1.16154
1972-01-21,1.07015
1972-01-28,0.96924
1972-02-04,0.8664
1972-02-11,0.76681
1972-02-18,0.6742
1972-02-25,0.59155
1972-03-03,0.52029
1972-03-10,0.46046
1972-03-17,0.40991
1972-03-24,0.36547
1972-03-31,0.32298
1972-04-07,0.27919
1972-04-14,0.23342
1972-04-21,0.18494
1972-04-28,0.1368
1972-05-05,0.09173
1972-05-12,0.05412
1972-05-19,0.02793
1972-05-26,0.01749
1972-06-02,0.02485
1972-06-09,0.05062
1972-06-16,0.09207
1972-06-23,0.14465
1972-06-30,0.20114
1972-07-07,0.25358
1972-07-14,0.29511
1972-07-21,0.31986
1972-07-28,0.3234
1972-08-04,0.30504
1972-08-11,0.26631
1972-08-18,0.2116
1972-08-25,0.14647
1972-09-01,0.07796
1972-09-08,0.01331
1972-09-15,-0.04276
1972-09-22,-0.08742
1972-09-29,-0.12007
1972-10-06,-0.14262
1972-10-13,-0.15879
1972-10-20,-0.17121
1972-10-27,-0.18357
1972-11-03,-0.19817
1972-11-10,-0.21557
1972-11-17,-0.23539
1972-11-24,-0.25629
1972-12-01,-0.27392
1972-12-08,-0.28397
1972-12-15,-0.28151
1972-12-22,-0.26015
1972-12-29,-0.21497
1973-01-05,-0.14258
1973-01-12,-0.041
1973-01-19,0.08787
1973-01-26,0.23961
1973-02-02,0.40769
1973-02-09,0.58211
1973-02-16,0.75149
1973-02-23,0.9062
1973-03-02,1.03708
1973-03-09,1.13884
1973-03-16,1.20888
1973-03-23,1.25027
1973-03-30,1.26681
1973-04-06,1.26304
1973-04-13,1.24612
1973-04-20,1.22112
1973-04-27,1.19336
1973-05-04,1.16589
1973-05-11,1.14209
1973-05-18,1.12399
1973-05-25,1.11387
1973-06-01,1.11446
1973-06-08,1.12898
1973-06-15,1.15945
1973-06-22,1.20831
1973-06-29,1.27748
1973-07-06,1.36615
1973-07-13,1.47303
1973-07-20,1.59347
1973-07-27,1.72333
1973-08-03,1.85544
1973-08-10,1.98439
1973-08-17,2.10469
1973-08-24,2.21124
1973-08-31,2.29882
1973-09-07,2.3627
1973-09-14,2.40046
1973-09-21,2.41277
1973-09-28,2.40122
1973-10-05,2.36811
1973-10-12,2.32179
1973-10-19,2.26793
1973-10-26,2.21572
1973-11-02,2.17093
1973-11-09,2.13755
1973-11-16,2.11586
1973-11-23,2.09934
1973-11-30,2.07893
1973-12-07,2.0423
1973-12-14,1.98039
1973-12-21,1.88648
1973-12-28,1.75889
1974-01-04,1.59863
1974-01-11,1.41656
1974-01-18,1.22185
1974-01-25,1.02664
1974-02-01,0.84395
1974-02-08,0.68493
1974-02-15,0.55944
1974-02-22,0.4759
1974-03-01,0.43969
1974-03-08,0.45427
1974-03-15,0.52184
1974-03-22,0.64146
1974-03-29,0.81034
1974-04-05,1.02437
1974-04-12,1.27924
1974-04-19,1.56857
1974-04-26,1.88662
1974-05-03,2.22613
1974-05-10,2.58168
1974-05-17,2.94585
1974-05-24,3.30941
1974-05-31,3.6656
1974-06-07,4.00615
1974-06-14,4.32096
1974-06-21,4.60108
1974-06-28,4.83514
1974-07-05,5.01253
1974-07-12,5.1275
1974-07-19,5.17868
1974-07-26,5.17109
1974-08-02,5.11467
1974-08-09,5.01795
1974-08-16,4.89555
1974-08-23,4.7556
1974-08-30,4.6074
1974-09-06,4.45437
1974-09-13,4.2986
