,gld_us,iwm_us,xlb_us,xlc_us,xle_us,xlf_us,xli_us,xlk_us,xlp_us,xlre_us,xlu_us,xlv_us,xly_us,BAMLC0A4CBBB,BAMLH0A0HYM2,DAAA,DBAA,DCOILBRENTEU,DCOILWTICO,DEXJPUS,DEXUSEU,DFF,DGS10,DGS2,DGS30,DHHNGSP,DJIA,DTWEXBGS,NASDAQCOM,SP500,T10Y2Y,T10Y3M,VIXCLS
gld_us,1.0,0.053507404122330876,0.10020723773664994,0.08348502809889717,0.049487858955407055,-0.06490067806565537,0.021710371685297346,0.05365669223743199,0.088367652477908,0.1310036237196212,0.14874412310751725,0.043339442029264125,0.02826274708309663,0.06214483785688829,0.10893818916613346,-0.25607817684074763,-0.2786481478115204,0.08549301548218781,0.01587746740766509,-0.3771169811407894,0.32362848444394715,-0.025268506669893092,-0.2948214271567339,-0.24199607451204394,-0.2660504982855768,-0.000546279388200534,0.028397669192199666,-0.33395008369985413,0.05881943852867813,0.05217108955946415,-0.019023557627794292,-0.030318294908785282,0.0027431612330420223
iwm_us,0.053507404122330876,1.0,0.6563594215788467,0.6933340157584058,0.576646231324097,0.8230707551609069,0.8587056481545221,0.6372840072091508,0.5385947678247849,0.6708867541890531,0.3623219461119028,0.6682063880887776,0.6748705357312424,-0.4010576184157337,-0.5615906923670013,-0.00570028573865311,0.020962194340597786,0.21907076852109053,0.10229746247031403,0.11279901106953627,0.10438244848207177,0.00011600612046849588,0.2622909075434305,0.1597119195088759,0.23237545371297194,0.01291569932725512,0.8482151821962483,-0.2839416469003491,0.8219975704687614,0.8666454576737028,0.05806962926894797,0.00952004431084298,-0.647949682457522
xlb_us,0.10020723773664994,0.6563594215788467,1.0,0.4818385032083048,0.7564718241588096,0.6504993448644042,0.7019324480071346,0.7930231961956073,0.5003254728044357,0.5272792076163734,0.7078498659475406,0.5532783030720572,0.8283967260349747,-0.30997427208091693,-0.42553829942517113,0.007169701399485085,0.028739452812426507,0.19460276898446904,0.10143734704385685,0.06326846980978551,0.13762201172735478,0.0001447094310978088,0.23390612689552742,0.13473754083357284,0.20839692881054386,0.020735859097523617,0.6823869529133959,-0.28574734259622353,0.570350049633017,0.6655669589817059,0.045386745328184715,0.008617830766763711,-0.47636880484060623
xlc_us,0.08348502809889717,0.6933340157584058,0.4818385032083048,1.0,0.3608571494090667,0.6204101617536215,0.650893889756556,0.6542344106940565,0.5070982912133936,0.5515901274929162,0.3018119150292914,0.5811915806674312,0.6211435963457378,-0.3360700412670131,-0.45890928578842144,-0.04689257808677473,-0.028790553532352693,0.15703935592256613,0.08527646756001435,0.04768161494611958,0.09006778208077774,0.010333028257019214,0.16987769759013463,0.07340019763627217,0.1519227759346026,0.037879926718291296,0.7303616319666602,-0.21092978075283322,0.8415328233295472,0.8205271772911175,0.03500996220578895,0.002026916758241875,-0.5315961776996608
xle_us,0.049487858955407055,0.576646231324097,0.7564718241588096,0.3608571494090667,1.0,0.6053889270740338,0.6036990150247068,0.5916679580787503,0.35359887136837553,0.39322044635802317,0.5436829283739477,0.41483139665750496,0.6238641169812048,-0.3336985371783891,-0.41534593669429654,0.0668005734430972,0.09757944394097497,0.436175398089945,0.20888543310239846,0.12233709744633674,0.03874394379224691,0.003918039548421795,0.2976652213841908,0.16594015394105233,0.28541377725888095,0.033874048172985644,0.5896979254549549,-0.22244469102952033,0.41700476248713364,0.5431644181637829,0.04685145998838709,0.010709314302250075,-0.38460656898531603
xlf_us,-0.06490067806565537,0.8230707551609069,0.6504993448644042,0.6204101617536215,0.6053889270740338,1.0,0.8742288392904173,0.5579084082386205,0.6059644119638564,0.6332341714792001,0.3750031331098093,0.6791720578769365,0.5873353451252827,-0.4463463147761588,-0.5788770333342917,0.10562541334238629,0.14094866361799227,0.2382149577052359,0.10602866520263193,0.2073911599182315,0.07262927315803087,0.0036402612447390603,0.4104644893111784,0.26488311274126736,0.37056754905778283,0.01924794978529911,0.8954151176618461,-0.24762179455061903,0.6982558644640203,0.8443144617952384,0.0796980065340051,0.023944179189837572,-0.6016746319361426
xli_us,0.021710371685297346,0.8587056481545221,0.7019324480071346,0.650893889756556,0.6036990150247068,0.8742288392904173,1.0,0.6231598175934978,0.6420503884704376,0.6781227010287026,0.42203714652821195,0.7081287805487828,0.6344535542958483,-0.4326646437424253,-0.566616703394993,0.03032905852365953,0.05735876262806282,0.2378427240591129,0.1256745228670472,0.13979048087796783,0.0987867555746622,-0.0019957811667097405,0.33032554174312984,0.20451237197053798,0.2936449010147897,0.015373205760672267,0.9265762017252518,-0.27906024939474217,0.7582778921257983,0.8870017607303161,0.06922320839812657,0.014591017851264427,-0.6307609734159204
xlk_us,0.05365669223743199,0.6372840072091508,0.7930231961956073,0.6542344106940565,0.5916679580787503,0.5579084082386205,0.6231598175934978,1.0,0.4518791928110306,0.4825037836067394,0.6205222317888656,0.5603969410600206,0.8904659603600175,-0.2956888400615944,-0.4246715555782241,-0.018073326296185625,0.0038992396724790977,0.1568251381470971,0.08172197629602025,0.09584972307182227,0.06424117427905726,-0.0005002048697546484,0.17567331897144828,0.1022857328289772,0.1542485781901313,0.028206328797822915,0.6870696546145,-0.18856333505206652,0.8116883286039009,0.7792712784312468,0.03853617273397643,0.018032470319246825,-0.5646844821189766
xlp_us,0.088367652477908,0.5385947678247849,0.5003254728044357,0.5070982912133936,0.35359887136837553,0.6059644119638564,0.6420503884704376,0.4518791928110306,1.0,0.6870220481355771,0.5364447740697418,0.6981906523936646,0.456414819324202,-0.247548924916604,-0.30981518109133255,-0.061918229300031505,-0.048657034990871345,0.11558334464050983,0.07539918369796934,0.00453891496777818,0.10799695562903597,0.0072614153392640945,0.16342725212380332,0.09670766004684003,0.13082771795317993,0.014249469202585793,0.7284516352132573,-0.21725305145870535,0.5460924759697066,0.6912479802998579,0.02502456830539454,-0.004934628997457146,-0.45224038286712215
xlre_us,0.1310036237196212,0.6708867541890531,0.5272792076163734,0.5515901274929162,0.39322044635802317,0.6332341714792001,0.6781227010287026,0.4825037836067394,0.6870220481355771,1.0,0.5624356633535655,0.6439209876806541,0.507023501380427,-0.2837977819156594,-0.3773297602551453,-0.14527805461920473,-0.14905255653313446,0.1380343035100511,0.08239210983253961,-0.035161231769136776,0.1320818867228788,0.03215845723251363,0.11304537087273976,0.05995083497069187,0.07945988211555337,0.022484844894236945,0.7084306337372268,-0.28769749724107685,0.5956291060344604,0.7111815290969631,0.020610018145235352,-0.009980553766417493,-0.44619743079025503
