,consensus
2006-02-09,0.1875
2006-02-14,0.1875
2006-02-22,0.125
2006-02-27,0.25
2006-03-04,0.3125
2006-03-09,0.3125
2006-03-14,0.1875
2006-03-19,0.25
2006-03-24,0.1875
2006-03-29,0.1875
2006-04-03,0.1875
2006-04-08,0.1875
2006-04-13,0.1875
2006-04-18,0.1875
2006-04-23,0.1875
2006-04-28,0.125
2006-05-03,0.125
2006-05-08,0.0625
2006-05-13,0.0625
2006-05-18,0.0625
2006-05-23,0.125
2006-05-28,0.0625
2006-06-02,0.0625
2006-06-07,0.0
2006-06-12,0.0
2006-06-17,0.0625
2006-06-22,0.0625
2006-06-27,0.0625
2006-07-02,0.125
2006-07-07,0.125
2006-07-12,0.0625
2006-07-17,0.0625
2006-07-22,0.125
2006-07-27,0.125
2006-08-01,0.1875
2006-08-08,0.0625
2006-08-13,0.125
2006-08-18,0.125
2006-08-23,0.0625
2006-08-28,0.0625
2006-09-02,0.0625
2006-09-07,0.0625
2006-09-12,0.125
2006-09-17,0.125
2006-09-22,0.0625
2006-09-27,0.0625
2006-10-02,0.0625
2006-10-07,0.0
2006-10-12,0.0
2006-10-17,0.0
2006-10-22,0.0
2006-10-27,0.0
2006-11-01,0.0
2006-11-06,0.0
2006-11-11,0.0
2006-11-16,0.0
2006-11-21,0.0
2006-11-26,0.0625
2006-12-01,0.0625
2006-12-06,0.0625
2006-12-11,0.0
2006-12-16,0.0
2006-12-21,0.0
2006-12-26,0.0
2006-12-31,0.0
2007-01-05,0.0
2007-01-10,0.0625
2007-01-15,0.0
2007-01-20,0.0
2007-01-25,0.0
2007-01-30,0.0
2007-02-04,0.0
2007-02-09,0.0
2007-02-14,0.0
2007-02-19,0.0
2007-02-24,0.0
2007-03-01,0.1875
2007-03-06,0.125
2007-03-11,0.1875
2007-03-16,0.125
2007-03-21,0.125
2007-03-26,0.125
2007-03-31,0.125
2007-04-05,0.125
2007-04-10,0.125
2007-04-18,0.125
2007-04-23,0.125
2007-04-28,0.125
2007-05-03,0.125
2007-05-08,0.0
2007-05-13,0.0
2007-05-18,0.0
2007-05-23,0.0
2007-05-28,0.0
2007-06-02,0.125
2007-06-07,0.125
2007-06-12,0.125
2007-06-17,0.1875
2007-06-22,0.125
2007-06-27,0.0
2007-07-02,0.0
2007-07-07,0.0625
2007-07-12,0.125
2007-07-17,0.0625
2007-07-22,0.0
2007-07-27,0.0
2007-08-01,0.0
2007-08-06,0.125
2007-08-11,0.1875
2007-08-16,0.25
2007-08-21,0.375
2007-08-26,0.375
2007-08-31,0.375
2007-09-05,0.375
2007-09-10,0.375
2007-09-15,0.3125
2007-09-20,0.3125
2007-09-25,0.25
2007-09-30,0.375
2007-10-05,0.375
2007-10-10,0.3125
2007-10-15,0.125
2007-10-20,0.1875
2007-10-25,0.125
2007-10-30,0.125
2007-11-04,0.0625
2007-11-09,0.0625
2007-11-14,0.0625
2007-11-19,0.0625
2007-11-24,0.1875
2007-11-29,0.0625
2007-12-04,0.0625
2007-12-09,0.0625
2007-12-14,0.0625
2007-12-19,0.125
2007-12-24,0.125
2007-12-29,0.0625
2008-01-03,0.0625
2008-01-08,0.0625
2008-01-13,0.0625
2008-01-18,0.0625
2008-01-23,0.0625
2008-01-28,0.0625
2008-02-02,0.0625
2008-02-07,0.0625
2008-02-12,0.0625
2008-02-17,0.0625
2008-02-22,0.0625
2008-02-27,0.0625
2008-03-03,0.0625
2008-03-08,0.0625
2008-03-13,0.0625
2008-03-18,0.0625
2008-03-23,0.0625
2008-03-28,0.0625
2008-04-02,0.0625
2008-04-07,0.0625
2008-04-12,0.0625
2008-04-17,0.0625
2008-04-22,0.0625
2008-04-27,0.0625
2008-05-02,0.0625
2008-05-07,0.0625
2008-05-12,0.0625
2008-05-17,0.125
2008-05-22,0.0625
2008-05-27,0.0625
2008-06-01,0.0625
2008-06-06,0.125
2008-06-11,0.125
2008-06-16,0.0625
2008-06-21,0.0625
2008-06-26,0.0625
2008-07-01,0.0625
2008-07-06,0.0625
2008-07-11,0.0625
2008-07-16,0.0625
2008-07-21,0.125
2008-07-26,0.0625
2008-07-31,0.125
2008-08-05,0.0625
2008-08-10,0.0625
2008-08-15,0.0625
2008-08-20,0.0625
2008-08-25,0.0625
2008-08-30,0.0625
2008-09-04,0.0625
2008-09-09,0.0625
2008-09-14,0.0625
2008-09-19,0.1875
2008-09-24,0.1875
2008-09-29,0.1875
2008-10-04,0.125
2008-10-09,0.1875
2008-10-14,0.125
2008-10-19,0.1875
2008-10-24,0.125
2008-10-29,0.125
2008-11-03,0.0625
2008-11-08,0.0625
2008-11-13,0.0625
2008-11-18,0.0625
2008-11-23,0.0625
2008-11-28,0.0625
2008-12-03,0.125
2008-12-08,0.0625
2008-12-13,0.0625
2008-12-18,0.0625
2008-12-23,0.0625
2008-12-28,0.0625
2009-01-02,0.125
2009-01-07,0.0625
2009-01-12,0.0625
2009-01-17,0.125
2009-01-22,0.125
2009-01-27,0.125
2009-02-01,0.125
2009-02-06,0.0625
2009-02-11,0.0625
2009-02-16,0.125
2009-02-21,0.0625
2009-02-26,0.125
2009-03-03,0.125
2009-03-08,0.125
2009-03-13,0.0625
2009-03-18,0.0625
2009-03-23,0.125
2009-03-28,0.125
2009-04-02,0.125
2009-04-07,0.125
2009-04-12,0.125
2009-04-17,0.125
2009-04-22,0.125
2009-04-27,0.125
2009-05-02,0.125
2009-05-07,0.125
2009-05-12,0.125
2009-05-17,0.125
2009-05-22,0.0625
2009-05-27,0.0625
2009-06-01,0.125
2009-06-06,0.125
2009-06-11,0.125
2009-06-16,0.0625
2009-06-21,0.0625
2009-06-26,0.0625
2009-07-01,0.0625
2009-07-06,0.125
2009-07-11,0.0625
2009-07-16,0.0625
2009-07-21,0.0625
2009-07-26,0.125
2009-07-31,0.0625
2009-08-05,0.0625
2009-08-10,0.125
2009-08-15,0.125
2009-08-20,0.125
2009-08-25,0.0625
2009-08-30,0.0625
2009-09-04,0.0625
2009-09-09,0.0625
2009-09-14,0.0625
2009-09-19,0.0625
2009-09-24,0.0625
2009-09-29,0.0625
2009-10-04,0.125
2009-10-09,0.125
2009-10-14,0.0625
2009-10-19,0.0625
2009-10-24,0.0625
2009-10-29,0.0625
2009-11-03,0.0625
2009-11-08,0.0625
2009-11-13,0.0625
2009-11-18,0.0625
2009-11-23,0.0625
2009-11-28,0.0625
2009-12-03,0.1875
2009-12-08,0.0625
2009-12-13,0.0625
2009-12-18,0.0625
2009-12-23,0.0625
2009-12-28,0.0625
2010-01-02,0.0625
2010-01-07,0.125
2010-01-12,0.125
2010-01-17,0.125
2010-01-22,0.125
2010-01-27,0.125
2010-02-01,0.125
2010-02-06,0.1875
2010-02-11,0.1875
2010-02-16,0.1875
2010-02-21,0.1875
2010-02-26,0.1875
2010-03-03,0.125
2010-03-08,0.1875
2010-03-13,0.25
2010-03-18,0.1875
2010-03-23,0.1875
2010-03-28,0.1875
2010-04-02,0.1875
2010-04-07,0.1875
2010-04-12,0.125
2010-04-17,0.0625
2010-04-22,0.0625
2010-04-27,0.0625
2010-05-02,0.125
2010-05-07,0.5
2010-05-12,0.375
2010-05-17,0.4375
2010-05-22,0.375
2010-05-27,0.375
2010-06-01,0.4375
2010-06-06,0.375
2010-06-11,0.375
2010-06-16,0.3125
2010-06-21,0.3125
2010-06-26,0.3125
