,magnitude,pca,granger,dmd,influence,mutual_info,clustering,decomposition,wavelet,network,regime,anomaly,transfer_entropy,tda,avg_rank,std_rank,agreement
m2sl,3.0,5.0,27.0,29.0,5.0,4.0,9.0,9.0,3.0,16.0,10.0,2.0,21.0,3.0,10.428571428571429,8.87785596473677,0.10123654400002667
XLU_Close,27.0,1.0,15.0,12.0,7.0,10.0,18.0,14.0,7.0,22.5,12.0,3.0,15.0,10.0,12.392857142857142,6.819558457189175,0.1278844586270234
walcl,29.0,7.0,16.0,26.0,1.0,16.0,20.0,4.0,1.0,20.5,13.0,1.0,25.0,1.0,12.892857142857142,9.946604897129061,0.09135252522563114
dgs2,30.0,4.0,20.0,8.0,16.0,7.0,21.0,3.0,13.0,14.0,14.0,8.0,27.0,12.0,14.071428571428571,7.841868269690819,0.1130982694492199
houst,5.0,3.0,32.0,1.0,3.0,18.0,28.0,12.0,4.0,30.5,31.0,11.0,18.0,4.0,14.321428571428571,11.391737517756866,0.08069893334708227
cpilfesl,2.0,23.0,30.0,30.0,12.0,1.0,5.0,5.0,10.0,16.0,8.0,29.5,26.0,6.0,14.535714285714286,10.597277759800738,0.0862271319797364
permit,1.0,28.0,28.0,4.0,4.0,12.0,32.0,11.0,5.0,30.5,17.0,12.0,20.0,5.0,14.964285714285714,10.583788623770463,0.0863275420917086
payems,25.0,26.0,23.0,28.0,2.0,3.0,15.0,10.0,2.0,18.5,2.0,29.5,28.0,2.0,15.285714285714286,10.984915445598057,0.08343821902951266
nfci,21.0,11.0,17.0,2.0,22.0,17.0,25.0,17.0,19.0,24.0,5.0,4.0,19.0,16.0,15.642857142857142,7.127483455481554,0.12303931536465368
cpiaucsl,22.0,21.0,31.0,32.0,10.0,2.0,6.0,6.0,9.0,16.0,6.0,29.5,24.0,7.0,15.821428571428571,10.176315539485973,0.08947492547673654
ppiaco,32.0,17.0,26.0,31.0,6.0,5.0,8.0,8.0,6.0,20.5,3.0,29.5,22.0,8.0,15.857142857142858,10.358620584236265,0.08803885934774697
iwm_iwm,9.5,25.0,4.0,23.0,15.0,23.0,4.0,26.0,20.0,4.0,26.0,15.5,11.0,19.0,16.071428571428573,8.037539475257745,0.11064958584554128
dgs10,6.0,31.0,21.0,25.0,17.0,9.0,24.0,2.0,16.0,25.0,1.0,6.0,31.0,13.0,16.214285714285715,9.929599124612746,0.09149466404015359
anfci,26.0,19.0,18.0,3.0,20.0,13.0,27.0,18.0,17.0,28.5,4.0,5.0,17.0,15.0,16.464285714285715,7.806737670834372,0.11354942515339593
spy_spy,15.5,24.0,3.0,24.0,11.0,19.0,12.0,29.0,15.0,4.0,27.0,15.5,5.0,27.0,16.5,8.539822681330769,0.10482375127967303
qqq_qqq,15.5,13.0,2.0,22.0,8.0,26.0,16.0,30.0,11.0,8.0,28.0,21.5,3.0,27.0,16.5,9.067209367511357,0.09933239326751013
indpro,4.0,30.0,29.0,27.0,9.0,6.0,17.0,7.0,8.0,18.5,9.0,29.5,30.0,9.0,16.642857142857142,10.006120575907119,0.09085853576682086
tip_tip,9.5,12.0,11.0,19.0,29.0,22.0,7.0,22.0,28.0,4.0,21.0,15.5,8.0,27.0,16.785714285714285,8.034999968251146,0.11068068660918483
lqd_lqd,15.5,16.0,8.0,17.0,27.0,21.0,3.0,20.0,27.0,4.0,19.0,21.5,9.0,27.0,16.785714285714285,7.846096130547721,0.11304421580348384
xlu_xlu,9.5,27.0,6.0,21.0,24.0,25.0,2.0,21.0,24.0,4.0,18.0,15.5,12.0,27.0,16.857142857142858,8.422818860157234,0.10612535535712436
dgs3mo,31.0,10.0,25.0,9.0,18.0,8.0,19.0,1.0,14.0,22.5,11.0,29.5,29.0,11.0,17.0,8.970188722333868,0.10029900414622396
tlt_tlt,15.5,22.0,12.0,18.0,26.0,24.0,1.0,25.0,26.0,4.0,20.0,15.5,7.0,27.0,17.357142857142858,8.292484918433615,0.1076138415910999
hyg_hyg,15.5,9.0,1.0,16.0,30.0,28.0,10.0,23.0,30.0,11.0,24.0,21.5,6.0,21.0,17.571428571428573,8.883888190863003,0.10117475842396047
bnd_bnd,15.5,6.0,5.0,14.0,31.0,31.0,11.0,19.0,31.0,4.0,23.0,25.0,4.0,27.0,17.607142857142858,10.131595861160154,0.08983437886827651
t10y3m,24.0,8.0,19.0,6.0,19.0,14.0,26.0,16.0,18.0,27.0,16.0,7.0,32.0,17.0,17.785714285714285,7.408282733618129,0.11893034900001449
uso_uso,9.5,20.0,7.0,20.0,25.0,20.0,14.0,27.0,25.0,9.5,22.0,15.5,14.0,27.0,18.25,6.496565026447218,0.13339442751074504
unrate,28.0,32.0,22.0,11.0,13.0,15.0,31.0,15.0,12.0,32.0,7.0,9.0,16.0,14.0,18.357142857142858,8.557429043628389,0.10463064862267178
