magnitude,pca,granger,dmd,influence,mutual_info,clustering,decomposition,wavelet,network,regime,anomaly,transfer_entropy,tda,avg_rank,std_rank,agreement,window_start,window_end,indicator
3.0,12.0,,10.0,5.0,4.0,1.0,5.0,5.0,1.0,2.0,18.0,4.0,5.0,5.769230769230769,4.66004037872645,0.17667718480570405,1970,1975,ppiaco
5.0,8.0,12.0,8.0,1.0,5.0,4.0,3.0,1.0,5.5,6.0,18.0,7.0,1.0,6.035714285714286,4.465999670983473,0.18294915115135277,1970,1975,payems
8.0,3.0,,2.0,8.0,10.0,5.0,12.0,8.0,2.0,4.0,1.0,9.0,10.0,6.3076923076923075,3.494712828184784,0.2224836242550018,1970,1975,nfci
1.0,10.0,12.0,12.0,4.0,2.0,6.0,4.0,4.0,5.5,5.0,18.0,11.0,4.0,7.035714285714286,4.63089117354581,0.17759178239814805,1970,1975,m2sl
6.0,2.0,,1.0,6.0,12.0,8.0,14.0,6.0,8.0,7.0,2.0,12.0,9.0,7.153846153846154,3.859975166244424,0.20576236828237873,1970,1975,anfci
9.0,5.0,12.0,5.0,3.0,7.0,10.0,6.0,3.0,9.0,9.0,18.0,3.0,2.0,7.214285714285714,4.211863710801591,0.19186994432097282,1970,1975,permit
2.0,9.0,12.0,9.0,11.0,1.0,3.0,9.0,10.0,3.5,3.0,18.0,6.0,7.0,7.392857142857143,4.528396796993436,0.180884266582283,1970,1975,cpilfesl
7.0,11.0,12.0,11.0,9.0,3.0,2.0,7.0,9.0,3.5,1.0,18.0,5.0,6.0,7.464285714285714,4.449977069420397,0.1834870105437617,1970,1975,cpiaucsl
11.0,6.0,12.0,6.0,2.0,6.0,11.0,8.0,2.0,11.0,10.0,18.0,1.0,3.0,7.642857142857143,4.653833179789121,0.17687115417107133,1970,1975,houst
12.0,4.0,12.0,7.0,7.0,8.0,7.0,1.0,7.0,7.0,8.0,18.0,8.0,8.0,8.142857142857142,3.7958086444532637,0.20851540879484007,1970,1975,indpro
10.0,1.0,12.0,3.0,10.0,11.0,9.0,10.0,11.0,10.0,11.0,18.0,2.0,12.0,9.285714285714286,4.333071682315172,0.18750919911991207,1970,1975,dgs10
4.0,7.0,12.0,4.0,12.0,9.0,12.0,11.0,12.0,22.0,12.0,3.0,10.0,11.0,10.071428571428571,4.605342948518534,0.17840121633669093,1970,1975,unrate
14.0,15.0,,14.0,22.5,14.5,22.5,13.0,22.5,22.0,14.0,18.0,13.0,22.5,17.5,4.047791420591652,0.19810644233845737,1970,1975,t10y2y
13.0,14.0,,13.0,22.5,14.5,22.5,15.0,22.5,22.0,13.0,18.0,23.0,22.5,18.115384615384617,4.2433379737847075,0.1907182037472567,1970,1975,dgs3mo
23.5,13.0,,23.5,22.5,14.5,22.5,2.0,22.5,22.0,23.5,18.0,23.0,22.5,19.46153846153846,6.065227303945065,0.1415382629574596,1970,1975,dgs2
23.5,16.0,12.0,23.5,22.5,14.5,22.5,16.0,22.5,22.0,23.5,18.0,23.0,22.5,20.142857142857142,3.8239310898069068,0.20729981033788528,1970,1975,t10y3m
23.5,24.5,12.0,23.5,22.5,17.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,21.535714285714285,3.372495291293365,0.22870236178212197,1970,1975,walcl
23.5,24.5,12.0,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.107142857142858,3.230317163931715,0.23638889502804705,1970,1975,spy_spy
23.5,24.5,12.0,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.107142857142858,3.230317163931715,0.23638889502804705,1970,1975,qqq_qqq
23.5,24.5,12.0,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.107142857142858,3.230317163931715,0.23638889502804705,1970,1975,gld_gld
23.5,24.5,12.0,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.107142857142858,3.230317163931715,0.23638889502804705,1970,1975,bnd_bnd
23.5,24.5,12.0,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.107142857142858,3.230317163931715,0.23638889502804705,1970,1975,uso_uso
23.5,24.5,12.0,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.107142857142858,3.230317163931715,0.23638889502804705,1970,1975,ief_ief
23.5,24.5,12.0,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.107142857142858,3.230317163931715,0.23638889502804705,1970,1975,tlt_tlt
23.5,24.5,12.0,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.107142857142858,3.230317163931715,0.23638889502804705,1970,1975,xlu_xlu
23.5,24.5,12.0,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.107142857142858,3.230317163931715,0.23638889502804705,1970,1975,hyg_hyg
23.5,24.5,12.0,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.107142857142858,3.230317163931715,0.23638889502804705,1970,1975,tip_tip
23.5,24.5,12.0,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.107142857142858,3.230317163931715,0.23638889502804705,1970,1975,lqd_lqd
23.5,24.5,12.0,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.107142857142858,3.230317163931715,0.23638889502804705,1970,1975,XLU_Close
23.5,24.5,,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.884615384615383,1.6658775252082858,0.3751110058673343,1970,1975,iwm_iwm
23.5,24.5,,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.884615384615383,1.6658775252082858,0.3751110058673343,1970,1975,slv_slv
23.5,24.5,,23.5,22.5,25.0,22.5,24.5,22.5,22.0,23.5,18.0,23.0,22.5,22.884615384615383,1.6658775252082858,0.3751110058673343,1970,1975,shy_shy
11.0,14.0,11.5,13.0,1.0,5.0,1.0,2.0,1.0,3.0,5.0,18.5,8.0,1.0,6.785714285714286,5.649634266652911,0.1503842106046156,1975,1980,payems
9.0,13.0,11.5,9.0,5.0,4.0,4.0,11.0,5.0,1.0,3.0,18.5,4.0,5.0,7.357142857142857,4.642307659791977,0.17723244819245967,1975,1980,ppiaco
1.0,5.0,11.5,6.0,3.0,9.0,12.0,6.0,3.0,12.0,13.0,18.5,1.0,2.0,7.357142857142857,5.180418389848213,0.16180134368290872,1975,1980,permit
13.0,2.0,,3.0,2.0,7.0,14.0,9.0,2.0,11.0,12.0,18.5,2.0,3.0,7.576923076923077,5.476685388100789,0.15439996542633333,1975,1980,houst
14.0,10.0,11.5,14.0,4.0,1.0,5.0,5.0,4.0,6.0,4.0,18.5,7.0,4.0,7.714285714285714,4.87967462950102,0.1700774384661597,1975,1980,m2sl
12.0,12.0,11.5,10.0,6.0,3.0,3.0,10.0,6.0,3.0,2.0,18.5,5.0,6.0,7.714285714285714,4.57756284857489,0.1792897771211144,1975,1980,cpiaucsl
10.0,11.0,11.5,12.0,7.0,2.0,2.0,8.0,10.0,3.0,1.0,18.5,6.0,7.0,7.785714285714286,4.681705602335411,0.17600348733115626,1975,1980,cpilfesl
8.0,7.0,11.5,2.0,9.0,10.0,9.0,7.0,7.0,9.0,8.0,2.0,13.0,9.0,7.964285714285714,2.9305307034872765,0.2544185697653429,1975,1980,dgs2
6.0,9.0,11.5,11.0,8.0,6.0,6.0,3.0,8.0,6.0,6.0,18.5,9.0,8.0,8.285714285714286,3.559265000943141,0.21933359868161592,1975,1980,indpro
2.0,8.0,,8.0,13.0,8.0,7.0,1.0,14.0,6.0,7.0,18.5,3.0,13.0,8.346153846153847,4.888702106287892,0.16981670696709397,1975,1980,unrate
3.5,1.0,11.5,1.0,11.0,13.0,10.0,12.0,12.0,10.0,11.0,1.0,14.0,10.0,8.642857142857142,4.603680869806292,0.17845413099596588,1975,1980,dgs10
3.5,6.0,11.5,7.0,14.0,11.0,8.0,4.0,13.0,8.0,10.0,4.0,12.0,14.0,9.0,3.600595188893874,0.21736317996724921,1975,1980,t10y2y
5.0,4.0,11.5,5.0,10.0,14.0,13.0,14.0,9.0,14.0,14.0,3.0,10.0,12.0,9.892857142857142,3.9196326879139156,0.20326720782563798,1975,1980,anfci
7.0,3.0,11.5,4.0,12.0,12.0,11.0,13.0,11.0,13.0,9.0,18.5,11.0,11.0,10.5,3.7416573867739413,0.21089672205953397,1975,1980,nfci
15.0,15.0,11.5,15.0,23.5,32.0,23.5,15.0,23.5,23.5,23.5,18.5,15.0,23.5,19.857142857142858,5.455758986836659,0.15490045431358382,1975,1980,dgs3mo
24.0,24.5,11.5,24.0,23.5,15.0,23.5,24.5,23.5,23.5,23.5,18.5,24.0,23.5,21.928571428571427,3.86771039162311,0.2054353935519479,1975,1980,walcl
24.0,24.5,11.5,24.0,23.5,23.0,23.5,24.5,23.5,23.5,23.5,18.5,24.0,23.5,22.5,3.359421718944242,0.22938822267513465,1975,1980,xlu_xlu
24.0,24.5,11.5,24.0,23.5,23.0,23.5,24.5,23.5,23.5,23.5,18.5,24.0,23.5,22.5,3.359421718944242,0.22938822267513465,1975,1980,qqq_qqq
24.0,24.5,11.5,24.0,23.5,23.0,23.5,24.5,23.5,23.5,23.5,18.5,24.0,23.5,22.5,3.359421718944242,0.22938822267513465,1975,1980,iwm_iwm
24.0,24.5,11.5,24.0,23.5,23.0,23.5,24.5,23.5,23.5,23.5,18.5,24.0,23.5,22.5,3.359421718944242,0.22938822267513465,1975,1980,bnd_bnd
24.0,24.5,11.5,24.0,23.5,23.0,23.5,24.5,23.5,23.5,23.5,18.5,24.0,23.5,22.5,3.359421718944242,0.22938822267513465,1975,1980,uso_uso
24.0,24.5,11.5,24.0,23.5,23.0,23.5,24.5,23.5,23.5,23.5,18.5,24.0,23.5,22.5,3.359421718944242,0.22938822267513465,1975,1980,tip_tip
24.0,24.5,11.5,24.0,23.5,23.0,23.5,24.5,23.5,23.5,23.5,18.5,24.0,23.5,22.5,3.359421718944242,0.22938822267513465,1975,1980,ief_ief
24.0,24.5,11.5,24.0,23.5,23.0,23.5,24.5,23.5,23.5,23.5,18.5,24.0,23.5,22.5,3.359421718944242,0.22938822267513465,1975,1980,tlt_tlt
24.0,16.0,,24.0,23.5,31.0,23.5,16.0,23.5,23.5,23.5,18.5,24.0,23.5,22.653846153846153,3.7743293616452593,0.2094535010578731,1975,1980,t10y3m
24.0,24.5,,24.0,23.5,23.0,23.5,24.5,23.5,23.5,23.5,18.5,24.0,23.5,23.346153846153847,1.4595127662315597,0.4065845942048879,1975,1980,gld_gld
24.0,24.5,,24.0,23.5,23.0,23.5,24.5,23.5,23.5,23.5,18.5,24.0,23.5,23.346153846153847,1.4595127662315597,0.4065845942048879,1975,1980,spy_spy
24.0,24.5,,24.0,23.5,23.0,23.5,24.5,23.5,23.5,23.5,18.5,24.0,23.5,23.346153846153847,1.4595127662315597,0.4065845942048879,1975,1980,slv_slv
