indicator,mean_rank,std_rank,ci_lower,ci_upper
BAMLC0A4CBBB,12.1,2.64430462291611,8.0,17.44375
BAMLH0A0HYM2,12.565,2.209562935819421,8.6125,16.96875
iwm_us,13.005,1.9538619528032797,9.25,16.71875
VIXCLS,13.51,1.9658824678884088,9.531250000000002,16.831249999999997
NASDAQCOM,13.84,2.1103244745192864,10.55625,18.275
DGS10,14.175,2.3980487391006133,10.30625,18.44375
xlc_us,14.36,2.8153913709160525,9.30625,18.44375
xli_us,14.54,1.941990352862816,10.80625,17.69375
DGS30,14.835,2.0944594061670503,11.55625,19.162499999999998
T10Y2Y,14.92,2.9997618953129312,9.75,19.25
xlf_us,14.98,2.3812833103353395,10.80625,19.69375
DGS2,15.17,2.776284405827475,10.8625,20.25
DBAA,15.35,2.5694436783721355,11.6125,20.0
DJIA,16.035,1.9443862155194476,11.643750000000002,18.75
xlre_us,16.45,2.8974830738531168,11.55625,21.94375
xlk_us,16.455,3.852738887956918,10.0,21.75
SP500,16.55,1.7842851423995423,13.5,20.21875
xle_us,16.885,3.4159776142744978,10.1125,21.8875
DCOILBRENTEU,17.16,3.0655092462387894,11.8625,24.106249999999996
DCOILWTICO,17.605,2.8935581161311714,13.25,23.44375
xlb_us,17.695,3.8469740295033796,10.8625,23.6375
DAAA,17.695,2.9365266515920134,13.30625,22.5
T10Y3M,17.755,2.9831542339734076,10.787500000000003,22.69375
xly_us,17.89,3.1494087556562236,10.143750000000002,22.96875
xlp_us,18.58,2.6984689536619744,13.6125,24.3875
xlv_us,19.62,3.8326737084054057,12.725000000000001,27.331249999999997
DEXUSEU,20.25,2.558997731096122,16.0,25.3875
DEXJPUS,20.685,2.7837951264635925,14.918750000000001,25.525
DTWEXBGS,21.465,2.637547755636911,14.812500000000002,25.69375
xlu_us,21.465,2.4016416579209365,16.225,25.94375
gld_us,21.485,4.0401082274854865,12.393750000000002,26.0
DHHNGSP,22.035,2.4877300939628,16.39375,25.8875
DFF,23.89,4.213123326377392,14.418750000000001,30.75
